,mean_inoculum_host,mean_inoculum_vector,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
0,10.0,10.0,0.875,967,4,0.3766721670343679,3374,0.188,0.46808510638297873,0.08800000000000001
1,10.0,9.526315789473685,0.8805031446540881,909,4,0.4154736705793792,3247,0.168,0.5476190476190477,0.09200000000000001
2,10.0,9.052631578947368,0.8576271186440678,848,4,0.3962027745639017,3007,0.284,0.4084507042253521,0.11599999999999999
3,10.0,8.578947368421053,0.8181818181818182,862,4,0.3893605223916754,2768,0.144,0.3333333333333333,0.047999999999999994
4,10.0,8.105263157894736,0.8376383763837638,938,4,0.3585271934570219,3148,0.212,0.16981132075471697,0.036
5,10.0,7.631578947368421,0.8067226890756303,879,4,0.3912476816529281,2890,0.144,0.3611111111111111,0.052
6,10.0,7.157894736842105,0.8064516129032258,935,4,0.34720581086104846,2871,0.208,0.4230769230769231,0.088
7,10.0,6.684210526315789,0.7755102040816326,976,4,0.37105280838484284,2972,0.184,0.2826086956521739,0.052
8,10.0,6.210526315789474,0.7918552036199095,831,4,0.33521730882572287,2524,0.244,0.2459016393442623,0.06
9,10.0,5.736842105263158,0.7622377622377622,800,4,0.4377734375,2319,0.196,0.30612244897959184,0.060000000000000005
10,10.0,5.2631578947368425,0.777027027027027,872,4,0.402332242656342,2673,0.196,0.32653061224489793,0.064
11,10.0,4.7894736842105265,0.9736842105263158,933,4,0.47559015679692673,3089,0.136,0.9411764705882353,0.128
12,10.0,4.315789473684211,0.6258503401360545,1005,4,0.3753610059156951,2649,0.236,0.06779661016949153,0.016
13,10.0,3.8421052631578947,0.7796610169491526,956,4,0.4632140543757987,3074,0.188,0.44680851063829785,0.08399999999999999
14,10.0,3.3684210526315796,0.7760416666666666,873,4,0.42075554138472626,2418,0.216,0.2037037037037037,0.044
15,10.0,2.8947368421052637,0.7606837606837606,841,5,0.45231244724515435,2393,0.188,0.40425531914893614,0.076
16,10.0,2.421052631578948,0.5135135135135135,748,4,0.4422559981698075,1978,0.176,0.18181818181818182,0.032
17,10.0,1.9473684210526319,0.29310344827586204,809,4,0.37592840739456157,1863,0.172,0.046511627906976744,0.007999999999999998
18,10.0,1.4736842105263168,0.421875,857,5,0.6128567129916441,2809,0.18,0.17777777777777778,0.032
19,10.0,1.0,0.611764705882353,943,6,0.7099248916782588,3347,0.176,0.25,0.044
20,9.526315789473685,10.0,0.7668161434977578,870,4,0.4026106486986392,3048,0.224,0.07142857142857142,0.016
21,9.526315789473685,9.526315789473685,0.8516129032258064,963,5,0.5111169340359663,3913,0.276,0.3333333333333333,0.092
22,9.526315789473685,9.052631578947368,0.8393782383419689,889,4,0.37566507786076797,3089,0.188,0.3404255319148936,0.064
23,9.526315789473685,8.578947368421053,1.0,747,4,0.37214811947477544,3258,0.152,1.0,0.152
24,9.526315789473685,8.105263157894736,0.8110599078341014,856,4,0.3568870643724343,2920,0.212,0.22641509433962265,0.048
25,9.526315789473685,7.631578947368421,0.7401129943502824,986,4,0.4486297001839135,3520,0.208,0.11538461538461539,0.024
26,9.526315789473685,7.157894736842105,0.7833333333333333,880,4,0.3895131714876033,2903,0.22,0.2909090909090909,0.064
27,9.526315789473685,6.684210526315789,0.8066298342541437,963,3,0.37620192178086603,3014,0.224,0.375,0.084
28,9.526315789473685,6.210526315789474,1.0,777,5,0.4944271353537763,3812,0.204,1.0,0.204
29,9.526315789473685,5.736842105263158,0.6771653543307087,955,4,0.38905073874071433,3140,0.184,0.10869565217391304,0.02
30,9.526315789473685,5.2631578947368425,0.7352941176470589,1027,4,0.3913479197025965,3333,0.216,0.16666666666666666,0.036
31,9.526315789473685,4.7894736842105265,0.7556818181818182,849,4,0.3738368842440562,2554,0.256,0.328125,0.084
32,9.526315789473685,4.315789473684211,0.6666666666666666,905,4,0.444997405451604,2612,0.176,0.13636363636363635,0.023999999999999997
33,9.526315789473685,3.8421052631578947,0.696969696969697,865,4,0.3461712720104247,2167,0.204,0.21568627450980393,0.044
34,9.526315789473685,3.3684210526315796,0.7684210526315789,891,4,0.37104553453225353,2370,0.164,0.4634146341463415,0.07600000000000001
35,9.526315789473685,2.8947368421052637,0.75,817,4,0.46200012284846637,2293,0.22,0.45454545454545453,0.09999999999999999
36,9.526315789473685,2.421052631578948,0.2542372881355932,858,5,0.5354363973245092,2721,0.184,0.043478260869565216,0.008
37,9.526315789473685,1.9473684210526319,0.4725274725274725,871,4,0.4476082890326255,2230,0.208,0.07692307692307693,0.016
38,9.526315789473685,1.4736842105263168,0.635593220338983,743,4,0.41902802106334763,1931,0.228,0.24561403508771928,0.056
39,9.526315789473685,1.0,0.717391304347826,845,4,0.4460207975911206,2226,0.196,0.46938775510204084,0.09200000000000001
40,9.052631578947368,10.0,0.8360655737704918,994,5,0.4308628430543018,3768,0.18,0.3333333333333333,0.06
41,9.052631578947368,9.526315789473685,0.898989898989899,834,4,0.3965072546279523,3061,0.2,0.6,0.12
42,9.052631578947368,9.052631578947368,0.8085106382978723,929,3,0.3288186772123225,2952,0.192,0.25,0.048
43,9.052631578947368,8.578947368421053,0.8345323741007195,884,4,0.3797872177064351,3057,0.168,0.4523809523809524,0.07600000000000001
44,9.052631578947368,8.105263157894736,0.8601036269430051,782,4,0.4878304040397434,2960,0.204,0.47058823529411764,0.09599999999999999
45,9.052631578947368,7.631578947368421,0.7088607594936709,830,4,0.3998490346929888,2872,0.116,0.20689655172413793,0.024
46,9.052631578947368,7.157894736842105,0.7588652482269503,833,3,0.35117432327072484,2549,0.176,0.22727272727272727,0.039999999999999994
47,9.052631578947368,6.684210526315789,0.8883248730964467,1014,5,0.4111404829429408,3413,0.176,0.5,0.088
48,9.052631578947368,6.210526315789474,0.762589928057554,882,4,0.3801309639502059,2657,0.2,0.34,0.068
