,migration_rate,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
1064,0.002,1.0,1670,9,2.0068041163182615,21020,0.37,1.0,0.37
1065,0.002,1.0,1768,9,4.800837155258901,35526,0.23,1.0,0.23
1066,0.002,1.0,1655,10,2.898580334243024,24851,0.35,1.0,0.35
1067,0.002,1.0,1589,8,3.596436482567177,33587,0.5,1.0,0.5
1068,0.002,1.0,1442,8,2.0929361093103465,16726,0.28,1.0,0.28
1069,0.002,1.0,1458,9,3.571098673229954,31089,0.26,1.0,0.26
1070,0.002,1.0,1516,10,3.3949721005840954,31469,0.23,1.0,0.23
1071,0.002,1.0,1405,10,4.999143374577322,31182,0.24,1.0,0.24
1072,0.002,1.0,1303,6,1.3037049514992558,9661,0.23,1.0,0.23
1073,0.002,1.0,1542,8,1.9683185547430277,17489,0.15,1.0,0.15
1074,0.002,1.0,1533,9,1.5955872309516788,10009,0.38,1.0,0.38
1075,0.002,1.0,1449,9,2.7775572596888645,30699,0.27,1.0,0.27
1076,0.002,1.0,1508,10,4.06185358019827,45657,0.26,1.0,0.26
1077,0.002,1.0,1528,10,3.751123872700858,34136,0.54,1.0,0.54
1078,0.002,1.0,1544,7,1.58992481341781,15541,0.19,1.0,0.19
1079,0.002,1.0,1447,9,4.322839380287314,35823,0.3,1.0,0.3
1080,0.002,1.0,1548,10,3.696947883073266,32307,0.48,1.0,0.48
1081,0.002,1.0,1413,9,3.1622017571143295,27583,0.22,1.0,0.22
1082,0.002,1.0,1725,8,3.174729342575089,28020,0.3,1.0,0.3
1083,0.002,0.782608695652174,1250,9,1.7403673600000003,7280,0.25,0.6,0.15
1084,0.002,1.0,1637,7,1.4750958011679365,13905,0.28,1.0,0.28
1085,0.002,1.0,1712,9,2.6155474140754653,29837,0.21,1.0,0.21
1086,0.002,1.0,1416,11,3.7057339046889464,28988,0.27,1.0,0.27
1087,0.002,1.0,1583,10,2.7973593403379007,26247,0.24,1.0,0.24
1088,0.002,1.0,1577,8,2.48501826952036,32257,0.22,1.0,0.22
1089,0.002,,822,9,2.417745573374536,10856,0.0,,
1090,0.002,1.0,1516,11,5.044959308275493,37012,0.37,1.0,0.37
1091,0.002,1.0,1519,12,6.466414228202695,44924,0.37,1.0,0.37
1092,0.002,1.0,1381,11,3.782030987420569,38323,0.19,1.0,0.19
1093,0.002,1.0,1331,8,2.280718530155044,17148,0.44,1.0,0.44
1094,0.002,1.0,1502,11,3.9714362208577643,23500,0.41,1.0,0.41
1095,0.002,1.0,1695,8,1.631679501570644,13407,0.31,1.0,0.31
1096,0.002,1.0,1484,9,3.4425330206842437,29945,0.31,1.0,0.31
1097,0.002,1.0,1436,12,5.661241765659795,30470,0.48,1.0,0.48
1098,0.002,1.0,1392,8,1.9876629797529395,19037,0.15,1.0,0.15
1099,0.002,1.0,1409,10,4.615869491522862,42746,0.26,1.0,0.26
1100,0.0015,1.0,1281,7,1.4833161787513536,9969,0.19,1.0,0.19
1101,0.0015,1.0,1201,7,1.7701249513831452,12519,0.12,1.0,0.12
1102,0.0015,1.0,1661,9,2.5560202702433306,15727,0.26,1.0,0.26
1103,0.0015,1.0,1346,11,4.095629226655833,28903,0.34,1.0,0.34
1104,0.0015,,1154,12,9.859201961979881,33433,0.0,,
1105,0.0015,1.0,1538,11,3.1180873442787065,33247,0.39,1.0,0.39
1106,0.0015,1.0,1417,8,2.8668268016807703,24702,0.13,1.0,0.13
1107,0.0015,1.0,1313,10,3.798804966910658,25282,0.27,1.0,0.27
1108,0.0015,1.0,1417,11,5.8008126943272265,51741,0.33,1.0,0.33
1109,0.0015,1.0,1422,12,8.379151410129351,41572,0.42,1.0,0.42
1110,0.0015,1.0,1514,13,6.6023254555893125,46400,0.2,1.0,0.2
1111,0.0015,1.0,1594,10,4.6812072876801185,38820,0.48,1.0,0.48
1112,0.0015,1.0,1383,8,1.9023416770839379,13924,0.11,1.0,0.11
1113,0.0015,,1127,8,1.7556027773556862,7098,0.0,,
1114,0.0015,1.0,1251,10,2.8215010725232763,18303,0.25,1.0,0.25
1115,0.0015,1.0,1250,12,5.87433024,30645,0.19,1.0,0.19
1116,0.0015,,286,4,0.4667343146364126,783,0.0,,
1117,0.0015,1.0,1146,8,1.8611735484833807,24079,0.14,1.0,0.14
1118,0.0015,1.0,1546,9,3.685098547518196,43403,0.37,1.0,0.37
1119,0.0015,,591,9,2.9439620248453244,6734,0.0,,
1120,0.0015,1.0,1289,8,2.8945610678408515,15762,0.41,1.0,0.41
1121,0.0015,1.0,1404,9,2.233829270866308,24776,0.27,1.0,0.27
1122,0.0015,1.0,1202,9,3.455737940924859,19280,0.19,1.0,0.19
1123,0.0015,1.0,1385,9,2.6658582804415545,25589,0.37,1.0,0.37
1124,0.0015,1.0,1360,9,3.648611051038062,23249,0.31,1.0,0.31
1125,0.0015,1.0,1778,9,2.4079003974334476,29869,0.36,1.0,0.36
1126,0.0015,1.0,1443,11,6.953342275587597,37942,0.28,1.0,0.28
1127,0.0015,1.0,1189,10,6.166612789935213,38730,0.37,1.0,0.37
1128,0.0015,,645,7,1.5235622859203173,4612,0.0,,
1129,0.0015,1.0,1452,8,2.7379087645804403,25450,0.47,1.0,0.47
1130,0.0015,1.0,1594,9,2.4260176571805503,28193,0.23,1.0,0.23
1131,0.0015,1.0,1422,11,4.781726674064974,39749,0.16,1.0,0.16
1132,0.0015,1.0,1241,10,4.999104592550652,33227,0.19,1.0,0.19
1133,0.0015,,1251,10,3.5980424293658593,19151,0.0,,
1134,0.0015,,838,7,1.9852017247566376,8142,0.0,,
1135,0.0015,1.0,1308,8,2.194238115946095,19139,0.31,1.0,0.31
1136,0.0015,1.0,1735,8,2.360373726216479,25143,0.45,1.0,0.45
1137,0.0015,,711,9,2.5214264095853585,9894,0.0,,
1138,0.0015,1.0,1404,11,4.574781759076631,38501,0.2,1.0,0.2
1139,0.0015,1.0,1386,9,4.12344481716776,30045,0.44,1.0,0.44
1140,0.0015,1.0,1374,9,2.9366552676129154,26075,0.15,1.0,0.15
1141,0.0015,1.0,1134,11,6.273869401441418,27926,0.36,1.0,0.36
1142,0.0015,1.0,1037,9,3.6907889291954667,15252,0.17,1.0,0.17
1143,0.0015,1.0,1061,12,9.69009194995918,39796,0.41,1.0,0.41
1144,0.0015,1.0,1531,10,5.470598700234348,38109,0.27,1.0,0.27
1145,0.0015,1.0,1425,10,2.4718005540166206,17544,0.3,1.0,0.3
1146,0.0015,1.0,1372,9,2.4340171824664893,17367,0.15,1.0,0.15
