,contact_rate_host_host,fitnessHost,mutant_frac,mut_frac_inf_hosts,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,pwd_genomes,mut_frac_hosts
1573,0.105,0.316,,,905,5,0.7186300784469338,3561,0.0,,
1574,0.105,0.263,,,344,3,0.1517627771768524,515,0.0,,
1575,0.105,0.211,,,1426,5,0.3943793779715128,3161,0.0,,
1576,0.105,0.158,0.47058823529411764,0.0,1462,5,0.43181903245184433,3565,0.018,1.5802469135802468,0.0
1577,0.105,0.105,,,1199,4,0.3921686198047999,2774,0.0,,
1578,0.105,0.053,,,1336,5,0.38007816701925495,3064,0.0,,
1579,0.105,0.0,,,966,1,0.0010341250551890574,965,0.0,,
1580,0.1,1.0,,,928,12,6.739149821640904,21038,0.0,,
1581,0.1,0.947,,,670,6,1.3473401648474048,3925,0.0,,
1582,0.1,0.895,,,647,12,5.9878263486929315,8689,0.0,,
1583,0.1,0.842,,,456,5,0.948291782086796,1850,0.0,,
1584,0.1,0.789,,,883,8,2.7523281718736565,8568,0.0,,
1585,0.1,0.737,,,988,13,11.654448523988265,31342,0.0,,
1586,0.1,0.684,,,547,7,2.1076906109107676,4252,0.0,,
1587,0.1,0.632,,,468,6,1.1117503104682591,1748,0.0,,
1588,0.1,0.579,,,789,8,2.308387990124028,5905,0.0,,
1589,0.1,0.526,,,463,7,2.0258806077371267,3025,0.0,,
1590,0.1,0.474,,,1205,13,14.503593257691845,54176,0.0,,
1591,0.1,0.421,,,604,5,0.6396512214376562,1909,0.0,,
1592,0.1,0.368,,,1009,9,2.607930017356183,7797,0.0,,
1593,0.1,0.316,,,1057,9,5.539227155271564,21953,0.0,,
1594,0.1,0.263,,,1012,7,1.9649844162539638,6121,0.0,,
1595,0.1,0.211,,,627,4,0.34261018647822983,1282,0.0,,
1596,0.1,0.158,,,717,4,0.5308380455524238,2127,0.0,,
1597,0.1,0.105,,,661,3,0.14372392263132236,985,0.0,,
1598,0.1,0.053,,,516,2,0.06204555014722675,614,0.0,,
1599,0.1,0.0,,,599,1,0.0016666620215662717,598,0.0,,
