,pop_size_host:my_population,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
300,200,0.719626168224299,4471,6,0.6243903590828962,17383,0.44,0.3181818181818182,0.13999999999999999
301,300,0.7342857142857143,6655,6,0.5768429085986878,24957,0.48,0.3541666666666667,0.17
302,400,0.7648221343873518,8329,6,0.5929680432263965,32043,0.47,0.3670212765957447,0.1725
303,500,0.7707006369426752,10597,6,0.5339904502200065,41855,0.492,0.4146341463414634,0.204
304,5,,7,2,0.2857142857142857,9,0.0,,
305,10,,7,2,0.2857142857142857,9,0.0,,
306,15,,185,8,2.5996785975164354,3863,0.0,,
307,20,,320,8,4.250693359374999,7459,0.0,,
308,25,1.0,548,7,1.6159991208908306,6739,0.56,1.0,0.56
309,30,1.0,643,7,1.8301846176916623,6563,0.4,1.0,0.4
310,35,1.0,850,5,0.7390297577854671,4659,0.37142857142857144,1.0,0.37142857142857144
311,40,1.0,900,7,1.3554617283950616,7482,0.4,1.0,0.4
312,45,1.0,966,5,0.7363752684438614,5827,0.24444444444444444,1.0,0.24444444444444444
313,50,1.0,1023,5,0.8302875505599939,5512,0.42,1.0,0.42
314,60,0.7093023255813954,1213,5,0.6006664541661542,4146,0.5833333333333334,0.2857142857142857,0.16666666666666666
315,70,0.9886363636363636,1518,6,0.7207931697105096,6189,0.4714285714285714,0.9696969696969697,0.45714285714285713
316,80,0.8461538461538461,1826,4,0.5693124984254453,6595,0.3875,0.6129032258064516,0.23750000000000002
317,90,0.7575757575757576,2068,5,0.6405863597080315,7679,0.36666666666666664,0.5151515151515151,0.18888888888888888
318,100,0.6885245901639344,2280,6,0.6777162203755002,8918,0.52,0.2692307692307692,0.13999999999999999
319,200,0.7131147540983607,4370,6,0.5595109153841723,15886,0.505,0.3069306930693069,0.155
320,300,0.7855297157622739,6611,5,0.5683772463311731,25485,0.5133333333333333,0.461038961038961,0.23666666666666664
321,400,0.7685774946921444,8409,6,0.5721113438745367,33135,0.5075,0.4630541871921182,0.23499999999999996
322,500,0.7403314917127072,10310,6,0.5360928199623505,39510,0.46,0.3869565217391304,0.178
323,5,,21,2,0.2494331065759637,35,0.0,,
324,10,,40,3,0.549375,109,0.0,,
325,15,,85,4,0.5641522491349481,272,0.0,,
326,20,,159,5,1.3701198528539216,1441,0.0,,
327,25,1.0,567,7,1.24142350127065,5759,0.52,1.0,0.52
328,30,,533,7,1.092573102091246,3384,0.0,,
329,35,,214,5,0.6937068739627914,771,0.0,,
330,40,1.0,880,5,0.9031198347107438,4760,0.325,1.0,0.325
331,45,1.0,819,6,0.7240164529541819,5274,0.5333333333333333,1.0,0.5333333333333333
332,50,1.0,1161,5,0.5836692209706651,4440,0.54,1.0,0.54
333,60,0.8292682926829268,1405,5,0.5566160509618673,4851,0.2833333333333333,0.5882352941176471,0.16666666666666666
334,70,0.71875,1561,5,0.5875083770361893,5563,0.4,0.35714285714285715,0.14285714285714288
335,80,0.7280701754385965,1783,6,0.57103717448615,6349,0.575,0.32608695652173914,0.1875
336,90,1.0,1973,6,0.8770022264586105,12784,0.5666666666666667,1.0,0.5666666666666667
337,100,0.8888888888888888,2305,6,0.6183038852631033,9100,0.46,0.717391304347826,0.33
