,contact_rate_host_host,mutant_frac,infected_hosts,Alive
0,0.004,0.0,0.0,False
1,0.004428571428571428,0.0,0.0,False
2,0.004857142857142858,0.0,0.0,False
3,0.005285714285714286,0.2727272727272727,0.022,True
4,0.005714285714285714,0.010309278350515464,0.097,True
5,0.006142857142857143,0.10880829015544041,0.193,True
6,0.006571428571428572,0.05042016806722689,0.238,True
7,0.007,0.10108303249097472,0.277,True
8,0.0074285714285714285,0.05555555555555555,0.288,True
9,0.007857142857142858,0.030726256983240222,0.358,True
10,0.008285714285714285,0.06352941176470588,0.425,True
11,0.008714285714285714,0.03333333333333333,0.42,True
12,0.009142857142857144,0.04781704781704782,0.481,True
13,0.009571428571428571,0.02834008097165992,0.494,True
14,0.01,0.011385199240986717,0.527,True
15,0.01,0.04789272030651341,0.522,True
16,0.011111111111111112,0.027777777777777776,0.54,True
17,0.012222222222222223,0.030575539568345324,0.556,True
18,0.013333333333333332,0.027777777777777776,0.576,True
19,0.014444444444444444,0.015873015873015872,0.63,True
20,0.015555555555555555,0.018950437317784258,0.686,True
21,0.016666666666666666,0.004285714285714286,0.7,True
22,0.017777777777777778,0.016643550624133148,0.721,True
23,0.01888888888888889,0.016304347826086956,0.736,True
24,0.02,0.021361815754339118,0.749,True
25,0.004,0.0,0.0,False
26,0.004428571428571428,0.0,0.0,False
27,0.004857142857142858,0.0,0.0,False
28,0.005285714285714286,0.5294117647058824,0.085,True
29,0.005714285714285714,0.06976744186046512,0.172,True
30,0.006142857142857143,0.11320754716981132,0.159,True
31,0.006571428571428572,0.108,0.25,True
32,0.007,0.031141868512110725,0.289,True
33,0.0074285714285714285,0.045180722891566265,0.332,True
34,0.007857142857142858,0.08659217877094973,0.358,True
35,0.008285714285714285,0.075,0.4,True
36,0.008714285714285714,0.01694915254237288,0.413,True
37,0.009142857142857144,0.031982942430703626,0.469,True
38,0.009571428571428571,0.029227557411273485,0.479,True
39,0.01,0.0437375745526839,0.503,True
40,0.01,0.019646365422396856,0.509,True
41,0.011111111111111112,0.032567049808429116,0.522,True
42,0.012222222222222223,0.024344569288389514,0.534,True
43,0.013333333333333332,0.01288244766505636,0.621,True
44,0.014444444444444444,0.0136986301369863,0.657,True
45,0.015555555555555555,0.022865853658536585,0.656,True
46,0.016666666666666666,0.01912568306010929,0.732,True
47,0.017777777777777778,0.008426966292134831,0.712,True
48,0.01888888888888889,0.006906077348066298,0.724,True
49,0.02,0.014686248331108143,0.749,True
50,0.004,0.0,0.0,False
51,0.004428571428571428,0.0,0.0,False
52,0.004857142857142858,0.0,0.0,False
53,0.005285714285714286,0.08536585365853659,0.082,True
54,0.005714285714285714,0.17391304347826086,0.069,True
55,0.006142857142857143,0.03763440860215054,0.186,True
56,0.006571428571428572,0.07531380753138076,0.239,True
57,0.007,0.05343511450381679,0.262,True
58,0.0074285714285714285,0.045180722891566265,0.332,True
59,0.007857142857142858,0.03303303303303303,0.333,True
60,0.008285714285714285,0.05714285714285714,0.385,True
61,0.008714285714285714,0.02564102564102564,0.429,True
62,0.009142857142857144,0.029885057471264367,0.435,True
63,0.009571428571428571,0.03522504892367906,0.511,True
64,0.01,0.027833001988071572,0.503,True
65,0.01,0.05415860735009671,0.517,True
66,0.011111111111111112,0.01890359168241966,0.529,True
67,0.012222222222222223,0.02058319039451115,0.583,True
68,0.013333333333333332,0.019933554817275746,0.602,True
69,0.014444444444444444,0.02037617554858934,0.638,True
70,0.015555555555555555,0.019637462235649546,0.662,True
71,0.016666666666666666,0.007132667617689016,0.701,True
72,0.017777777777777778,0.00819672131147541,0.732,True
73,0.01888888888888889,0.011568123393316195,0.778,True
74,0.02,0.017735334242837655,0.733,True
75,0.004,0.0,0.0,False
76,0.004428571428571428,0.0,0.0,False
77,0.004857142857142858,0.0,0.0,False
78,0.005285714285714286,0.225,0.04,True
79,0.005714285714285714,0.10784313725490197,0.102,True
80,0.006142857142857143,0.035,0.2,True
81,0.006571428571428572,0.09504132231404959,0.242,True
82,0.007,0.050724637681159424,0.276,True
83,0.0074285714285714285,0.054285714285714284,0.35,True
84,0.007857142857142858,0.056022408963585436,0.357,True
85,0.008285714285714285,0.03056768558951965,0.458,True
86,0.008714285714285714,0.05092592592592592,0.432,True
87,0.009142857142857144,0.024017467248908297,0.458,True
88,0.009571428571428571,0.033542976939203356,0.477,True
89,0.01,0.02131782945736434,0.516,True
90,0.01,0.029045643153526972,0.482,True
91,0.011111111111111112,0.02448210922787194,0.531,True
92,0.012222222222222223,0.006745362563237774,0.593,True
93,0.013333333333333332,0.024793388429752067,0.605,True
94,0.014444444444444444,0.01732283464566929,0.635,True
95,0.015555555555555555,0.02127659574468085,0.658,True
96,0.016666666666666666,0.013119533527696793,0.686,True
97,0.017777777777777778,0.010899182561307902,0.734,True
98,0.01888888888888889,0.014925373134328358,0.737,True
99,0.02,0.011538461538461539,0.78,True
100,0.004,0.0,0.0,False
101,0.004428571428571428,0.0,0.0,False
102,0.004857142857142858,0.0,0.0,False
103,0.005285714285714286,0.0,0.007,True
104,0.005714285714285714,0.08695652173913043,0.115,True
105,0.006142857142857143,0.08139534883720931,0.172,True
106,0.006571428571428572,0.03076923076923077,0.195,True
107,0.007,0.027972027972027972,0.286,True
108,0.0074285714285714285,0.06547619047619048,0.336,True
109,0.007857142857142858,0.031331592689295036,0.383,True
110,0.008285714285714285,0.018970189701897018,0.369,True
111,0.008714285714285714,0.04895104895104895,0.429,True
112,0.009142857142857144,0.022123893805309734,0.452,True
113,0.009571428571428571,0.0364963503649635,0.411,True
114,0.01,0.019801980198019802,0.505,True
115,0.01,0.01293103448275862,0.464,True
116,0.011111111111111112,0.027124773960216998,0.553,True
117,0.012222222222222223,0.03198653198653199,0.594,True
118,0.013333333333333332,0.004830917874396135,0.621,True
119,0.014444444444444444,0.022292993630573247,0.628,True
120,0.015555555555555555,0.011764705882352941,0.68,True
121,0.016666666666666666,0.010101010101010102,0.693,True
122,0.017777777777777778,0.011527377521613832,0.694,True
123,0.01888888888888889,0.010638297872340425,0.752,True
124,0.02,0.009067357512953367,0.772,True
125,0.004,0.0,0.0,False
126,0.004428571428571428,0.0,0.0,False
