,mutate_in_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
0,0.05,0.7591240875912408,10915,6,0.5762110373143239,43252,0.458,0.42358078602620086,0.194
1,0.045000000000000005,0.6919014084507042,9596,6,0.518436139328583,35081,0.502,0.30278884462151395,0.152
2,0.04,0.7486338797814208,8497,6,0.4935415664777338,28924,0.492,0.43902439024390244,0.216
3,0.035,0.6798418972332015,7624,5,0.46597616848104356,24416,0.462,0.2987012987012987,0.138
4,0.030000000000000002,0.6473029045643154,6256,5,0.40411292116090297,18500,0.49,0.30612244897959184,0.15
5,0.025,0.6595744680851063,5375,5,0.3992348382909681,15775,0.5,0.296,0.148
6,0.020000000000000004,0.5945945945945946,4397,4,0.36715710967362586,11324,0.498,0.27710843373493976,0.138
7,0.015,0.6122448979591837,3209,5,0.3237585238851349,7699,0.468,0.2692307692307692,0.126
8,0.010000000000000002,0.5969773299748111,2212,4,0.2855123622914957,4826,0.452,0.2920353982300885,0.132
9,0.0050000000000000044,0.46607669616519176,1130,3,0.1969801863889106,1972,0.448,0.19196428571428573,0.08600000000000001
10,0.05,0.8031496062992126,10580,6,0.5384134562126349,40380,0.514,0.5136186770428015,0.26399999999999996
11,0.045000000000000005,0.7742857142857142,9328,5,0.4902493442712179,32562,0.536,0.41044776119402987,0.22000000000000003
12,0.04,0.6179540709812108,8744,5,0.49339961727252096,30817,0.496,0.2620967741935484,0.13
13,0.035,0.684981684981685,7521,5,0.45876028792916157,24899,0.524,0.3435114503816794,0.18000000000000002
14,0.030000000000000002,0.6187739463601533,6418,5,0.4645133210088757,20068,0.542,0.2656826568265683,0.14400000000000002
15,0.025,0.7113594040968343,5227,5,0.3852280009658317,14362,0.496,0.375,0.186
16,0.020000000000000004,0.6024096385542169,4220,4,0.3518734978998675,10700,0.518,0.23552123552123552,0.12200000000000001
17,0.015,0.5814977973568282,3302,4,0.31091594727568156,7952,0.486,0.21810699588477367,0.106
18,0.010000000000000002,0.42819148936170215,2256,4,0.27347699279462806,4907,0.478,0.100418410041841,0.047999999999999994
19,0.0050000000000000044,0.43119266055045874,1201,3,0.21667206276201967,2217,0.574,0.13588850174216027,0.07799999999999999
20,0.05,0.7839195979899497,10587,6,0.5020950207695405,39619,0.474,0.45569620253164556,0.21599999999999997
21,0.045000000000000005,0.8295281582952816,9556,5,0.5434629049250953,35046,0.506,0.5573122529644269,0.28200000000000003
22,0.04,0.7384898710865562,8656,5,0.49264769866766217,30651,0.494,0.4251012145748988,0.21
23,0.035,0.6866267465069861,7415,5,0.47487485273649804,24164,0.476,0.3403361344537815,0.162
24,0.030000000000000002,0.7190226876090751,6438,4,0.4368619270039716,19487,0.516,0.375968992248062,0.194
25,0.025,0.5871559633027523,5445,4,0.39228650137741045,15141,0.488,0.26229508196721313,0.128
26,0.020000000000000004,0.6053719008264463,4322,5,0.37702971848988454,11550,0.506,0.2450592885375494,0.124
27,0.015,0.5381062355658198,3325,4,0.3124514444004748,7974,0.504,0.20634920634920634,0.104
28,0.010000000000000002,0.5204301075268817,2189,4,0.2836421402665139,4675,0.57,0.21754385964912282,0.124
29,0.0050000000000000044,0.4947089947089947,1098,3,0.2422752412898431,2118,0.498,0.23293172690763053,0.116
30,0.05,0.7473684210526316,10532,6,0.57077408924589,41006,0.48,0.4,0.192
31,0.045000000000000005,0.7203883495145631,9541,6,0.5257680759303558,35111,0.472,0.3898305084745763,0.184
32,0.04,0.7179902755267423,8434,5,0.4709816303567957,28337,0.544,0.3602941176470588,0.196
33,0.035,0.6793168880455408,7408,5,0.42537107088128406,22879,0.492,0.3130081300813008,0.154
34,0.030000000000000002,0.6732142857142858,6251,5,0.4656456950570519,20177,0.532,0.31203007518796994,0.166
35,0.025,0.6457960644007156,5440,4,0.3988489403114187,15854,0.534,0.25842696629213485,0.138
36,0.020000000000000004,0.6363636363636364,4421,4,0.34442911192550657,11899,0.498,0.27710843373493976,0.138
37,0.015,0.5514223194748359,3161,4,0.33847205157046373,7602,0.508,0.19291338582677164,0.09799999999999999
38,0.010000000000000002,0.6884875846501128,2162,4,0.2522187545194475,4234,0.466,0.40772532188841204,0.19000000000000003
39,0.0050000000000000044,0.3323615160349854,1081,3,0.16616676407992395,1700,0.51,0.10196078431372549,0.052
40,0.05,0.6840077071290944,10341,6,0.5658370333638215,38937,0.456,0.2807017543859649,0.128
41,0.045000000000000005,0.7909516380655226,9437,6,0.5379924618813379,35206,0.53,0.49433962264150944,0.262
42,0.04,0.734225621414914,8344,6,0.48242562559233865,28147,0.472,0.4110169491525424,0.194
43,0.035,0.6869747899159664,7528,5,0.45819163186448947,24851,0.456,0.34649122807017546,0.15800000000000003
