,recombine_in_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
0,1.0,0.9300241296104792,21837,5,0.26695915332626285,94273,0.466,0.12875536480686695,0.06
1,0.8888888888888888,0.9240027510316369,19205,5,0.26903931132335923,81014,0.506,0.12648221343873517,0.064
2,0.7777777777777778,0.9335235378031383,20339,4,0.28010532937286775,88189,0.544,0.14338235294117646,0.078
3,0.6666666666666667,0.9243862520458265,18403,4,0.26267699697377456,76042,0.518,0.10810810810810811,0.05600000000000001
4,0.5555555555555556,0.926490514905149,17612,4,0.25124780393831575,72191,0.5,0.132,0.066
5,0.4444444444444444,0.9244076720571643,16087,5,0.23883567087921637,64357,0.478,0.1589958158995816,0.076
6,0.33333333333333337,0.9232876712328767,15281,5,0.24298309476868424,60686,0.478,0.1799163179916318,0.086
7,0.22222222222222232,0.9239788199697428,14050,4,0.22156339965299326,54581,0.472,0.1483050847457627,0.06999999999999999
8,0.11111111111111116,0.9186478454680534,12802,4,0.2172240311322626,48754,0.498,0.12048192771084337,0.06
9,0.0,0.9265584970111016,11595,5,0.20614988282298152,43471,0.462,0.2554112554112554,0.11800000000000001
10,1.0,0.9208394698085419,20179,5,0.27449298794128435,86299,0.47,0.0851063829787234,0.039999999999999994
11,0.8888888888888888,0.9296346414073072,20007,5,0.27584223664367546,85279,0.486,0.1440329218106996,0.07
12,0.7777777777777778,0.9354249162351508,18473,4,0.2633802626095998,76842,0.514,0.17509727626459143,0.09
13,0.6666666666666667,0.919438877755511,18356,4,0.259226205725355,75861,0.442,0.09049773755656108,0.04
14,0.5555555555555556,0.9294294294294294,17366,4,0.2383836701910666,70066,0.474,0.20675105485232068,0.09799999999999999
15,0.4444444444444444,0.9232464193903782,15913,5,0.242673113891701,63352,0.496,0.15725806451612903,0.078
16,0.33333333333333337,0.9190850119494708,15350,4,0.2348814056382561,60430,0.528,0.10227272727272728,0.054000000000000006
17,0.22222222222222232,0.926032315978456,13517,5,0.2230840162702401,52138,0.516,0.20155038759689922,0.104
18,0.11111111111111116,0.9295690936106984,12902,4,0.21521383994353432,48895,0.564,0.1595744680851064,0.09
19,0.0,0.9313373253493014,11474,4,0.20928796008673614,43124,0.458,0.24890829694323144,0.114
20,1.0,0.9357348703170029,20866,5,0.2737795931149133,90635,0.498,0.10441767068273092,0.052
21,0.8888888888888888,0.9250847457627118,20502,5,0.27633852976848267,88082,0.506,0.12648221343873517,0.064
22,0.7777777777777778,0.9238501370697533,19160,5,0.25134849209600724,79789,0.56,0.10714285714285714,0.060000000000000005
23,0.6666666666666667,0.9187455452601568,17831,5,0.25378406771990675,73615,0.516,0.11627906976744186,0.06
24,0.5555555555555556,0.9355638166047088,16120,4,0.23129407853013068,64286,0.526,0.20912547528517111,0.11000000000000001
25,0.4444444444444444,0.922509225092251,15821,4,0.2510483160757281,63509,0.52,0.11153846153846154,0.058
26,0.33333333333333337,0.9208063354931606,15043,4,0.2325103101702969,59023,0.514,0.14396887159533073,0.074
27,0.22222222222222232,0.9220732149329467,13772,4,0.21748494463883794,52865,0.51,0.1568627450980392,0.08
28,0.11111111111111116,0.9354497354497354,12782,4,0.21555100136048871,49112,0.502,0.27091633466135456,0.13599999999999998
29,0.0,0.9339382940108893,11330,4,0.21197692743335805,42539,0.49,0.2571428571428571,0.12599999999999997
30,1.0,0.9312977099236641,19737,5,0.2593393338749491,83703,0.482,0.14107883817427386,0.06799999999999999
31,0.8888888888888888,0.9268373794479547,19991,5,0.2611762857689943,84423,0.496,0.11290322580645161,0.056
32,0.7777777777777778,0.9149548069022185,17898,4,0.2441538074217289,72825,0.476,0.13025210084033614,0.062
33,0.6666666666666667,0.9248554913294798,18699,5,0.2543323680294888,77502,0.56,0.11785714285714285,0.066
34,0.5555555555555556,0.9293405114401077,17122,5,0.2474881097158261,69516,0.496,0.1532258064516129,0.076
35,0.4444444444444444,0.9103477167993297,16366,4,0.22941904711826225,65148,0.478,0.10460251046025104,0.049999999999999996
36,0.33333333333333337,0.9216245101531885,14921,5,0.22856102749237492,58633,0.496,0.11290322580645161,0.056
37,0.22222222222222232,0.9167648213584609,13874,4,0.22531465825930777,53834,0.542,0.2177121771217712,0.11800000000000001
38,0.11111111111111116,0.9084658358401375,13124,4,0.21266084939833965,50528,0.502,0.15139442231075698,0.076
39,0.0,0.919145370758274,11114,5,0.21476495380591004,41423,0.454,0.14977973568281938,0.068
40,1.0,0.9277350284376046,21688,5,0.2828445363139992,94821,0.488,0.11475409836065574,0.056
41,0.8888888888888888,0.9233413544173256,20572,4,0.28125993248734643,89214,0.506,0.11857707509881422,0.06
42,0.7777777777777778,0.9289864428663654,19204,4,0.2711225538134044,81173,0.496,0.11290322580645161,0.056
43,0.6666666666666667,0.925912274235164,17668,5,0.25436183606682744,72995,0.462,0.12987012987012986,0.06
44,0.5555555555555556,0.9178300757877942,17176,6,0.2446984657483965,69838,0.46,0.10434782608695652,0.048
45,0.4444444444444444,0.9363319607222046,16554,5,0.23996586259832664,66649,0.488,0.1762295081967213,0.086
46,0.33333333333333337,0.912672623883022,14520,4,0.233468109912043,56635,0.498,0.13654618473895583,0.068
47,0.22222222222222232,0.9274631497284717,14263,4,0.2154616389031427,55120,0.458,0.18340611353711792,0.084
48,0.11111111111111116,0.93342776203966,13025,4,0.21390932099424917,49683,0.464,0.1896551724137931,0.088
49,0.0,0.9215607401448109,11219,5,0.21394354586463613,42065,0.462,0.15584415584415584,0.07200000000000001
50,1.0,0.9301566579634465,20573,5,0.2845596302401468,88908,0.484,0.11570247933884298,0.056
51,0.8888888888888888,0.93351142772336,19047,4,0.25874920317490246,80072,0.53,0.15471698113207547,0.082
52,0.7777777777777778,0.9192745376955903,18906,4,0.25339614689292966,78211,0.514,0.11673151750972763,0.060000000000000005
53,0.6666666666666667,0.9322394408994227,18078,5,0.2520606823052339,74469,0.512,0.12890625,0.066
54,0.5555555555555556,0.9244415243101183,16770,4,0.23933981052714665,67507,0.546,0.1575091575091575,0.08600000000000001
55,0.4444444444444444,0.9247851002865329,15739,5,0.24415460631244104,62692,0.496,0.1532258064516129,0.076
56,0.33333333333333337,0.9254201680672269,14743,5,0.23499576954492762,58007,0.512,0.16796875,0.08600000000000001
57,0.22222222222222232,0.9098675779581376,14021,5,0.21929903803448952,54045,0.472,0.1059322033898305,0.049999999999999996
58,0.11111111111111116,0.9295874822190612,12882,4,0.21191744366074336,49098,0.506,0.21739130434782608,0.11
59,0.0,0.9295602605863192,11508,4,0.211359941351645,43170,0.47,0.26382978723404255,0.12399999999999999
60,1.0,0.9190878999632218,20753,5,0.27984710818152403,89875,0.5,0.12,0.06
61,0.8888888888888888,0.9269944068295555,19387,4,0.2708151807029999,82331,0.548,0.0948905109489051,0.052000000000000005
62,0.7777777777777778,0.9238095238095239,19438,5,0.2644913593745754,81960,0.488,0.08196721311475409,0.039999999999999994
63,0.6666666666666667,0.9208556149732621,18692,5,0.26355424107483244,78190,0.494,0.10121457489878542,0.049999999999999996
64,0.5555555555555556,0.9214402618657938,16892,4,0.24728982298093688,68127,0.462,0.16883116883116883,0.078
65,0.4444444444444444,0.9219143576826196,16053,5,0.2451871711987617,64614,0.512,0.15234375,0.078
66,0.33333333333333337,0.9240886884629839,15112,4,0.23887801503844525,59192,0.476,0.15126050420168066,0.072
67,0.22222222222222232,0.931075226467113,14503,4,0.21320325991704106,56120,0.452,0.22566371681415928,0.102
68,0.11111111111111116,0.9132849209739428,12633,5,0.2190967782991613,47821,0.484,0.16115702479338842,0.078
69,0.0,0.9321862348178138,11264,4,0.20682141012396693,42170,0.528,0.23863636363636365,0.126
70,1.0,0.9292035398230089,21914,5,0.28655855201190567,96113,0.478,0.09623430962343096,0.046
71,0.8888888888888888,0.9251392757660167,20341,4,0.26423036222137736,86092,0.48,0.10416666666666667,0.05
72,0.7777777777777778,0.9231796927187709,19572,5,0.2638529600902601,82507,0.544,0.15441176470588236,0.084
73,0.6666666666666667,0.9287211740041929,18249,4,0.2486327306317443,74717,0.47,0.13191489361702127,0.06199999999999999
74,0.5555555555555556,0.930349932705249,16963,5,0.25724779082572014,69570,0.476,0.13025210084033614,0.062
75,0.4444444444444444,0.9380908813662702,16156,4,0.24195228531596585,64529,0.526,0.22813688212927757,0.12000000000000001
76,0.33333333333333337,0.9301505927587311,15097,4,0.2315474765029774,59229,0.534,0.18352059925093633,0.098
77,0.22222222222222232,0.930081855388813,13939,5,0.21639519276906774,53564,0.504,0.1865079365079365,0.094
78,0.11111111111111116,0.9252823631624674,12787,4,0.2059487361698053,48820,0.448,0.23214285714285715,0.10400000000000001
79,0.0,0.921923076923077,11352,4,0.2156558005319928,42365,0.492,0.17479674796747968,0.08600000000000001
80,1.0,0.9224733207784055,20628,4,0.27097819565131315,88968,0.552,0.10507246376811594,0.058
81,0.8888888888888888,0.931056293485136,20027,4,0.2703744462377298,85263,0.5,0.128,0.064
82,0.7777777777777778,0.930794701986755,18560,5,0.2451677690249702,76788,0.516,0.18992248062015504,0.098
83,0.6666666666666667,0.9069256137779407,18027,5,0.25596555211252814,74299,0.566,0.10247349823321555,0.057999999999999996
84,0.5555555555555556,0.9211584875301689,16926,5,0.2427549136220278,68362,0.486,0.1934156378600823,0.094
85,0.4444444444444444,0.9186795491143317,16409,4,0.2413177849611054,65432,0.492,0.17886178861788618,0.088
86,0.33333333333333337,0.9203426124197002,15398,4,0.2338298363239931,61455,0.478,0.2217573221757322,0.106
87,0.22222222222222232,0.9152086137281292,14036,4,0.22695032116657077,53987,0.48,0.2125,0.102
88,0.11111111111111116,0.9280316660669305,13187,4,0.2121937156938026,50520,0.528,0.24242424242424243,0.128
89,0.0,0.9240959541711421,11464,4,0.20619935601067257,42637,0.522,0.18773946360153257,0.098
90,1.0,0.9354747816286277,20308,5,0.27394867125836664,87726,0.528,0.13257575757575757,0.07
91,0.8888888888888888,0.9259135098893732,19937,5,0.27694830127853537,84878,0.5,0.116,0.058
92,0.7777777777777778,0.9233016800584368,18253,5,0.2551368173308941,75395,0.482,0.12863070539419086,0.06199999999999999
93,0.6666666666666667,0.9262043047488896,18240,5,0.248728923803478,74418,0.494,0.12550607287449392,0.06199999999999999
94,0.5555555555555556,0.9217767295597484,17881,4,0.2538039005960404,73706,0.472,0.15677966101694915,0.074
95,0.4444444444444444,0.9254747402364744,15644,5,0.2315550825608997,62038,0.506,0.17786561264822134,0.09
96,0.33333333333333337,0.9196062346185397,15075,4,0.23138416925873667,59897,0.486,0.1934156378600823,0.094
97,0.22222222222222232,0.9229323308270677,13505,4,0.21916210500286418,52562,0.488,0.1598360655737705,0.078
98,0.11111111111111116,0.9278416347381865,12842,4,0.21622539692156834,49236,0.544,0.16911764705882354,0.09200000000000001
99,0.0,0.9255846917080085,11452,4,0.2013745294029879,42926,0.514,0.1828793774319066,0.094
100,1.0,0.9308495625176404,20236,5,0.261604905854737,85229,0.556,0.11870503597122302,0.066
101,0.8888888888888888,0.9285502520011859,20536,5,0.2686872513938486,87382,0.528,0.08712121212121213,0.046000000000000006
102,0.7777777777777778,0.9253494282083863,18512,5,0.2621594490975602,77286,0.524,0.10305343511450382,0.054000000000000006
