,mutate_in_host,mutate_in_vector,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
0,0.015,0.015,1.0,1168,6,1.0751518812159881,6328,0.148,1.0,0.148
1,0.015,0.014473684210526316,1.0,1164,7,2.332680146668084,13905,0.164,1.0,0.164
2,0.015,0.013947368421052632,0.734375,1261,8,1.2453215824456128,7313,0.212,0.6792452830188679,0.144
3,0.015,0.013421052631578948,1.0,1195,7,1.423395248682621,11199,0.144,1.0,0.144
4,0.015,0.012894736842105263,0.6506024096385542,1271,5,0.8663330941829506,5686,0.252,0.5396825396825397,0.13599999999999998
5,0.015,0.012368421052631579,0.7236842105263158,1190,5,1.4400120048019205,7251,0.224,0.625,0.14
6,0.015,0.011842105263157895,1.0,1265,6,0.9768288834382665,5646,0.232,1.0,0.232
7,0.015,0.011315789473684211,1.0,1090,7,1.8385396852116827,12541,0.24,1.0,0.24
8,0.015,0.010789473684210526,0.75,1172,8,1.3255774674137148,5958,0.24,0.6833333333333333,0.164
9,0.015,0.010263157894736842,0.5121951219512195,1086,7,1.2052279302286932,5055,0.132,0.3939393939393939,0.052
10,0.015,0.009736842105263158,1.0,1099,6,1.1565166778302056,9433,0.14,1.0,0.14
11,0.015,0.009210526315789475,0.5853658536585366,1204,6,0.8975452809571637,5174,0.236,0.423728813559322,0.09999999999999999
12,0.015,0.00868421052631579,0.5,980,6,1.1558558933777592,4610,0.208,0.3269230769230769,0.06799999999999999
13,0.015,0.008157894736842107,1.0,949,6,0.8777671799165224,7086,0.248,1.0,0.248
14,0.015,0.007631578947368422,1.0,1081,7,1.1264777790804246,5818,0.136,1.0,0.136
15,0.015,0.007105263157894738,0.6235294117647059,848,4,0.3300204142933428,1853,0.248,0.4838709677419355,0.12000000000000001
16,0.015,0.006578947368421054,1.0,903,7,1.441325764125733,6873,0.1,1.0,0.1
17,0.015,0.00605263157894737,0.6060606060606061,986,5,0.5916018992055099,3157,0.176,0.4090909090909091,0.072
18,0.015,0.0055263157894736865,0.5522388059701493,1014,5,0.5329966271022256,3475,0.172,0.3023255813953488,0.05199999999999999
19,0.015,0.005,0.7654320987654321,819,5,0.5593795703685813,2490,0.248,0.6935483870967742,0.17200000000000001
20,0.014473684210526316,0.015,1.0,1211,7,1.4837728201641842,9923,0.18,1.0,0.18
21,0.014473684210526316,0.014473684210526316,0.7413793103448276,1346,7,0.845929494468228,5620,0.168,0.6428571428571429,0.10800000000000001
22,0.014473684210526316,0.013947368421052632,1.0,1276,7,1.5544142647969263,14460,0.26,1.0,0.26
23,0.014473684210526316,0.013421052631578948,0.8490566037735849,1223,9,2.194469720116411,9076,0.176,0.8181818181818182,0.144
24,0.014473684210526316,0.012894736842105263,0.5662650602409639,1319,6,1.0262570548483385,6718,0.224,0.35714285714285715,0.08
25,0.014473684210526316,0.012368421052631579,1.0,1295,7,1.1092178113027533,7989,0.172,1.0,0.172
26,0.014473684210526316,0.011842105263157895,1.0,1206,7,1.250445533526398,8837,0.18,1.0,0.18
27,0.014473684210526316,0.011315789473684211,0.4117647058823529,1174,5,0.6908173689449719,4147,0.152,0.21052631578947367,0.032
28,0.014473684210526316,0.010789473684210526,1.0,1158,7,0.8786335800215368,10274,0.144,1.0,0.144
29,0.014473684210526316,0.010263157894736842,1.0,887,5,0.48927448844578275,5626,0.216,1.0,0.216
30,0.014473684210526316,0.009736842105263158,1.0,1134,6,0.8364306399285825,5021,0.204,1.0,0.204
31,0.014473684210526316,0.009210526315789475,0.7962962962962963,1189,6,1.6789564560475512,7708,0.152,0.7105263157894737,0.108
32,0.014473684210526316,0.00868421052631579,1.0,1018,6,1.0307201222783609,6698,0.168,1.0,0.168
33,0.014473684210526316,0.008157894736842107,0.8653846153846154,916,7,1.4846970881562136,5040,0.256,0.78125,0.2
34,0.014473684210526316,0.007631578947368422,1.0,1088,6,1.4257128230428204,6571,0.212,1.0,0.212
35,0.014473684210526316,0.007105263157894738,0.8695652173913043,961,6,0.6977101765958759,4750,0.168,0.7857142857142857,0.132
36,0.014473684210526316,0.006578947368421054,0.3548387096774194,971,5,0.6267080027279255,2750,0.188,0.14893617021276595,0.027999999999999997
37,0.014473684210526316,0.00605263157894737,0.8658536585365854,1102,4,0.49767952015968325,3614,0.252,0.8253968253968254,0.208
38,0.014473684210526316,0.0055263157894736865,0.7142857142857143,947,5,0.6622770288879796,3516,0.216,0.5925925925925926,0.128
39,0.014473684210526316,0.005,0.44,861,6,0.902259614930644,3840,0.244,0.3114754098360656,0.076
40,0.013947368421052632,0.015,1.0,1388,6,0.8780863556710877,7842,0.28,1.0,0.28
41,0.013947368421052632,0.014473684210526316,0.796875,1167,6,1.1626953444810848,6513,0.192,0.7291666666666666,0.13999999999999999
42,0.013947368421052632,0.013947368421052632,1.0,1053,6,0.8241509583706481,5770,0.24,1.0,0.24
43,0.013947368421052632,0.013421052631578948,1.0,1287,8,1.563888239878916,12223,0.176,1.0,0.176
44,0.013947368421052632,0.012894736842105263,1.0,1048,7,2.35566746547404,12393,0.1,1.0,0.1
45,0.013947368421052632,0.012368421052631579,0.6164383561643836,939,6,0.9882922148843003,4053,0.232,0.5172413793103449,0.12000000000000001
46,0.013947368421052632,0.011842105263157895,1.0,1155,8,2.00847360431776,16881,0.208,1.0,0.208
47,0.013947368421052632,0.011315789473684211,1.0,1079,7,1.8962482853635974,13026,0.204,1.0,0.204
48,0.013947368421052632,0.010789473684210526,1.0,1155,6,1.0688180506362324,8366,0.152,1.0,0.152
