,recombine_in_vector,recombine_in_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
0,1.0,1.0,0.892271662763466,1721,5,0.5596242337113976,8607,0.232,0.20689655172413793,0.048
1,1.0,0.9473684210526316,0.8697183098591549,1776,5,0.6055007710413116,9206,0.236,0.3728813559322034,0.088
2,1.0,0.8947368421052632,0.832,1732,5,0.5677333070206786,8608,0.184,0.08695652173913043,0.016
3,1.0,0.8421052631578947,0.9096045197740112,1659,5,0.6789146893067968,9192,0.12,0.4666666666666667,0.056
4,1.0,0.7894736842105263,0.8513513513513513,1464,5,0.508539651079459,6709,0.168,0.21428571428571427,0.036
5,1.0,0.736842105263158,0.8545994065281899,1848,4,0.52472311238545,8800,0.232,0.15517241379310345,0.036000000000000004
6,1.0,0.6842105263157895,0.8576923076923076,1705,5,0.6753123898143292,9710,0.192,0.22916666666666666,0.044
7,1.0,0.631578947368421,0.8834355828220859,1795,5,0.6602040642142751,10206,0.2,0.24,0.048
8,1.0,0.5789473684210527,0.845771144278607,1420,4,0.5629260067446936,7028,0.184,0.32608695652173914,0.06
9,1.0,0.5263157894736843,0.8745247148288974,1342,5,0.5752408154743793,6164,0.18,0.26666666666666666,0.048
10,1.0,0.4736842105263158,0.8275862068965517,1741,4,0.6082219511784741,8791,0.184,0.2391304347826087,0.044
11,1.0,0.42105263157894735,0.8229665071770335,1133,4,0.5625988849324096,4886,0.192,0.22916666666666666,0.044
12,1.0,0.368421052631579,0.9004149377593361,1082,4,0.5935344282683195,5193,0.168,0.42857142857142855,0.072
13,1.0,0.3157894736842106,0.8215767634854771,1597,5,0.5720682447403533,7552,0.216,0.2037037037037037,0.044
14,1.0,0.26315789473684215,0.8284518828451883,1444,6,0.5156282371989165,6621,0.208,0.21153846153846154,0.044
15,1.0,0.21052631578947367,0.8904593639575972,1358,4,0.5499060821054961,6401,0.2,0.38,0.07600000000000001
16,1.0,0.1578947368421053,0.8934010152284264,1602,6,0.7503292544743542,9256,0.156,0.46153846153846156,0.07200000000000001
17,1.0,0.10526315789473695,0.8214285714285714,1622,5,0.6154999612297615,8409,0.192,0.16666666666666666,0.032
18,1.0,0.052631578947368474,0.9134615384615384,1494,5,0.6796543604135418,7977,0.132,0.45454545454545453,0.06
19,1.0,0.0,0.9312169312169312,1453,4,0.5745627268546126,7062,0.144,0.6388888888888888,0.09199999999999998
20,0.9473684210526316,1.0,0.8111888111888111,2065,5,0.6519060321629371,11522,0.116,0.06896551724137931,0.008
21,0.9473684210526316,0.9473684210526316,0.8670886075949367,2089,5,0.6484187041882746,11956,0.128,0.34375,0.044
22,0.9473684210526316,0.8947368421052632,0.8832684824902723,1604,5,0.5701344363530078,7675,0.168,0.2857142857142857,0.048
23,0.9473684210526316,0.8421052631578947,0.8112449799196787,1469,5,0.6689472145233394,7639,0.208,0.09615384615384616,0.02
24,0.9473684210526316,0.7894736842105263,0.8088235294117647,1677,5,0.656195630027639,8906,0.124,0.16129032258064516,0.02
