,recombine_in_vector,recombine_in_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
0,1.0,1.0,0.8177339901477833,1284,4,0.4468579254859716,4791,0.164,0.0975609756097561,0.016
1,1.0,0.9473684210526316,0.8095238095238095,1434,4,0.45258700341769614,5524,0.212,0.09433962264150944,0.02
2,1.0,0.8947368421052632,0.8181818181818182,1182,4,0.3674383948740413,3701,0.208,0.038461538461538464,0.008
3,1.0,0.8421052631578947,0.7647058823529411,1275,4,0.40501714725105736,4533,0.168,0.047619047619047616,0.008
4,1.0,0.7894736842105263,0.7819905213270142,1483,5,0.4026455822768175,5173,0.188,0.02127659574468085,0.004
5,1.0,0.736842105263158,0.7732558139534884,1151,4,0.34500728788701096,3445,0.168,0.07142857142857142,0.012
6,1.0,0.6842105263157895,0.7241379310344828,1171,4,0.40829730149550664,3894,0.128,0.0,0.0
7,1.0,0.631578947368421,0.7361111111111112,1234,3,0.3483401148969369,4007,0.156,0.02564102564102564,0.004
8,1.0,0.5789473684210527,0.7671957671957672,1457,4,0.385223819499173,5269,0.18,0.022222222222222223,0.004
9,1.0,0.5263157894736843,0.8142414860681114,1290,4,0.34046992368247103,4130,0.268,0.1044776119402985,0.028
10,1.0,0.4736842105263158,0.7142857142857143,1345,4,0.3933522201185721,4656,0.172,0.06976744186046512,0.011999999999999999
11,1.0,0.42105263157894735,0.8246445497630331,1414,4,0.3995231559931099,5081,0.156,0.05128205128205128,0.008
12,1.0,0.368421052631579,0.80078125,1214,4,0.32016439181542083,3847,0.22,0.07272727272727272,0.016
13,1.0,0.3157894736842106,0.7636363636363637,1215,4,0.39057460752934003,3991,0.212,0.018867924528301886,0.004
14,1.0,0.26315789473684215,0.8443396226415094,1233,4,0.3457211096048186,3925,0.176,0.25,0.044
15,1.0,0.21052631578947367,0.7817258883248731,1292,4,0.4019088652244343,4564,0.196,0.12244897959183673,0.024
16,1.0,0.1578947368421053,0.7863247863247863,1273,3,0.3456414541177602,4211,0.216,0.07407407407407407,0.016
17,1.0,0.10526315789473695,0.7352941176470589,1178,4,0.4032798533383682,4053,0.208,0.1346153846153846,0.027999999999999997
18,1.0,0.052631578947368474,0.8,1361,4,0.3587833858170371,4591,0.236,0.1016949152542373,0.024
19,1.0,0.0,0.7310924369747899,1247,4,0.3609972675399306,4085,0.128,0.0,0.0
20,0.9473684210526316,1.0,0.8597785977859779,1334,4,0.40969545212401287,4750,0.172,0.11627906976744186,0.019999999999999997
21,0.9473684210526316,0.9473684210526316,0.7222222222222222,1686,4,0.4152471895408282,6496,0.14,0.0,0.0
22,0.9473684210526316,0.8947368421052632,0.8109965635738832,1419,4,0.44857940732860835,5342,0.224,0.017857142857142856,0.004
23,0.9473684210526316,0.8421052631578947,0.8127208480565371,1475,4,0.3777011203677104,5112,0.22,0.03636363636363636,0.008
24,0.9473684210526316,0.7894736842105263,0.770949720670391,1299,4,0.4176612435336947,4569,0.176,0.06818181818181818,0.011999999999999999
25,0.9473684210526316,0.736842105263158,0.8284023668639053,1441,4,0.4161376867883693,5098,0.244,0.04918032786885246,0.012
26,0.9473684210526316,0.6842105263157895,0.7942386831275721,1216,3,0.3577627250692521,3844,0.216,0.07407407407407407,0.016
27,0.9473684210526316,0.631578947368421,0.7477876106194691,1091,4,0.35727865940899667,3386,0.236,0.03389830508474576,0.008
28,0.9473684210526316,0.5789473684210527,0.7992125984251969,984,4,0.35449715777645585,2970,0.208,0.019230769230769232,0.004
29,0.9473684210526316,0.5263157894736843,0.7777777777777778,1145,3,0.37676932171392613,3766,0.232,0.0,0.0
30,0.9473684210526316,0.4736842105263158,0.7371428571428571,1308,4,0.3883949863928402,4327,0.196,0.061224489795918366,0.012
31,0.9473684210526316,0.42105263157894735,0.7375,1236,3,0.3710842994941402,4150,0.268,0.05970149253731343,0.016
32,0.9473684210526316,0.368421052631579,0.7584269662921348,1201,3,0.36817639477510067,3979,0.18,0.044444444444444446,0.008
