,contact_rate_host_host,mutant_frac,infected_hosts,Alive,depth
93,0.006909090909090908,0.9004830917874396,0.322,True,0.95 original drop
94,0.005454545454545453,0.97626582278481,0.20800000000000002,True,0.95 original drop
95,0.004,0.0,0.0,False,0.95 original drop
96,0.02,0.0,0.0,False,0.95 original drop
97,0.018545454545454542,0.8626817447495961,0.763,True,0.95 original drop
98,0.01709090909090909,0.0,0.0,False,0.95 original drop
99,0.01563636363636364,0.0,0.0,False,0.95 original drop
100,0.01418181818181818,0.0,0.0,False,0.95 original drop
101,0.012727272727272726,1.0,0.474,True,0.95 original drop
102,0.011272727272727271,0.0,0.0,False,0.95 original drop
103,0.009818181818181818,0.0,0.0,False,0.95 original drop
104,0.008363636363636363,0.0,0.0,False,0.95 original drop
105,0.006909090909090908,0.8551660516605166,0.349,True,0.95 original drop
106,0.005454545454545453,1.0,0.121,True,0.95 original drop
107,0.004,0.0,0.0,False,0.95 original drop
108,0.02,0.0,0.0,False,0.95 original drop
109,0.018545454545454542,0.0,0.0,False,0.95 original drop
110,0.01709090909090909,0.0,0.0,False,0.95 original drop
111,0.01563636363636364,0.0,0.0,False,0.95 original drop
112,0.01418181818181818,0.0,0.0,False,0.95 original drop
113,0.012727272727272726,0.0,0.0,False,0.95 original drop
114,0.011272727272727271,0.7749490835030551,0.591,True,0.95 original drop
115,0.009818181818181818,0.7569360675512666,0.51,True,0.95 original drop
116,0.008363636363636363,0.0,0.0,False,0.95 original drop
117,0.006909090909090908,0.8657534246575342,0.33899999999999997,True,0.95 original drop
118,0.005454545454545453,1.0,0.039,True,0.95 original drop
119,0.004,0.0,0.0,False,0.95 original drop
120,0.02,0.0,0.0,False,0.95 original drop
121,0.018545454545454542,0.0,0.0,False,0.95 original drop
122,0.01709090909090909,0.7844917918267551,0.745,True,0.95 original drop
123,0.01563636363636364,0.7208872458410351,0.659,True,0.95 original drop
124,0.01418181818181818,0.0,0.0,False,0.95 original drop
125,0.012727272727272726,0.0,0.0,False,0.95 original drop
126,0.011272727272727271,0.0,0.0,False,0.95 original drop
127,0.009818181818181818,0.0,0.0,False,0.95 original drop
128,0.008363636363636363,0.0,0.0,False,0.95 original drop
129,0.006909090909090908,0.9335106382978724,0.336,True,0.95 original drop
130,0.005454545454545453,1.0,0.151,True,0.95 original drop
131,0.004,0.0,0.0,False,0.95 original drop
132,0.02,0.0,0.0,False,0.95 original drop
133,0.018545454545454542,0.0,0.0,False,0.95 original drop
134,0.01709090909090909,0.0,0.0,False,0.95 original drop
135,0.01563636363636364,0.0,0.0,False,0.95 original drop
136,0.01418181818181818,0.0,0.0,False,0.95 original drop
137,0.012727272727272726,0.0,0.0,False,0.95 original drop
138,0.011272727272727271,0.0,0.0,False,0.95 original drop
139,0.009818181818181818,0.0,0.0,False,0.95 original drop
140,0.008363636363636363,0.0,0.0,False,0.95 original drop
141,0.006909090909090908,0.8591859185918592,0.27699999999999997,True,0.95 original drop
142,0.005454545454545453,1.0,0.036000000000000004,True,0.95 original drop
143,0.004,0.0,0.0,False,0.95 original drop
144,0.02,0.0,0.0,False,0.95 original drop
145,0.018545454545454542,0.0,0.0,False,0.95 original drop
146,0.01709090909090909,0.0,0.0,False,0.95 original drop
147,0.01563636363636364,0.0,0.0,False,0.95 original drop
148,0.01418181818181818,0.0,0.0,False,0.95 original drop
149,0.012727272727272726,0.0,0.0,False,0.95 original drop
150,0.011272727272727271,0.0,0.0,False,0.95 original drop
151,0.009818181818181818,0.0,0.0,False,0.95 original drop
152,0.008363636363636363,0.0,0.0,False,0.95 original drop
153,0.006909090909090908,0.8873949579831932,0.35200000000000004,True,0.95 original drop
154,0.005454545454545453,1.0,0.16699999999999998,True,0.95 original drop
155,0.004,0.0,0.0,False,0.95 original drop
156,0.02,0.0,0.0,False,0.95 original drop
157,0.018545454545454542,0.0,0.0,False,0.95 original drop
158,0.01709090909090909,0.0,0.0,False,0.95 original drop
159,0.01563636363636364,0.0,0.0,False,0.95 original drop
160,0.01418181818181818,0.0,0.0,False,0.95 original drop
161,0.012727272727272726,0.8469765528589058,0.648,True,0.95 original drop
162,0.011272727272727271,0.0,0.0,False,0.95 original drop
163,0.009818181818181818,0.0,0.0,False,0.95 original drop
164,0.008363636363636363,0.0,0.0,False,0.95 original drop
165,0.006909090909090908,1.0,0.01,True,0.95 original drop
166,0.005454545454545453,0.9314285714285714,0.163,True,0.95 original drop
167,0.004,0.0,0.0,False,0.95 original drop
168,0.02,0.0,0.0,False,0.95 original drop
169,0.018545454545454542,0.0,0.0,False,0.95 original drop
170,0.01709090909090909,0.0,0.0,False,0.95 original drop
171,0.01563636363636364,0.0,0.0,False,0.95 original drop
172,0.01418181818181818,0.0,0.0,False,0.95 original drop
173,0.012727272727272726,0.8697303456133688,0.664,True,0.95 original drop
174,0.011272727272727271,0.0,0.0,False,0.95 original drop
